07-May,,
Hartley Wintney II,OTs & Romsey II,
Hayling Island,Wellow & Plaitford,
Liphook & Ripsley II,East Woodhay,
Pylewell Park,Rotherwick ITW,
Rowner,Highfield,
South Wilts III,Longparish,
Steep,Ropley,
United Services II,GE Hamble,
Winterslow,Purbrook II,
==========,,
14-May,,
East Woodhay,Hayling Island,
GE Hamble,Steep,
Highfield,Winterslow,
Liphook & Ripsley II,South Wilts III,
Longparish,Rowner,
Purbrook II,Hartley Wintney II,
Pylewell Park,OTs & Romsey II,
Ropley,Rotherwick ITW,
Wellow & Plaitford,United Services II,
==========,,
21-May,,
Hartley Wintney II,Highfield,
Hayling Island,South Wilts III,
OTs & Romsey II,Purbrook II,
Ropley,Pylewell Park,
Rotherwick ITW,GE Hamble,
Rowner,Liphook & Ripsley II,
Steep,Wellow & Plaitford,
United Services II,East Woodhay,
Winterslow,Longparish,
==========,,
28-May,,
East Woodhay,Steep,
GE Hamble,Ropley,
Hayling Island,Rowner,
Highfield,OTs & Romsey II,
Liphook & Ripsley II,Winterslow,
Longparish,Hartley Wintney II,
Pylewell Park,Purbrook II,
South Wilts III,United Services II,
Wellow & Plaitford,Rotherwick ITW,
==========,,
04-Jun,,
GE Hamble,Pylewell Park,
Hartley Wintney II,Liphook & Ripsley II,
OTs & Romsey II,Longparish,
Purbrook II,Highfield,
Ropley,Wellow & Plaitford,
Rotherwick ITW,East Woodhay,
Steep,South Wilts III,
United Services II,Rowner,
Winterslow,Hayling Island,
==========,,
11-Jun,,
East Woodhay,Ropley,
Hayling Island,Hartley Wintney II,
Liphook & Ripsley II,OTs & Romsey II,
Longparish,Purbrook II,
Pylewell Park,Highfield,
Rowner,Steep,
South Wilts III,Rotherwick ITW,
United Services II,Winterslow,
Wellow & Plaitford,GE Hamble,
==========,,
18-Jun,,
GE Hamble,East Woodhay,
Hartley Wintney II,United Services II,
Highfield,Longparish,
OTs & Romsey II,Hayling Island,
Purbrook II,Liphook & Ripsley II,
Ropley,South Wilts III,
Rotherwick ITW,Rowner,
Steep,Winterslow,
Wellow & Plaitford,Pylewell Park,
==========,,
25-Jun,,
East Woodhay,Wellow & Plaitford,
Hayling Island,Purbrook II,
Liphook & Ripsley II,Highfield,
Pylewell Park,Longparish,
Rowner,Ropley,
South Wilts III,GE Hamble,
Steep,Hartley Wintney II,
United Services II,OTs & Romsey II,
Winterslow,Rotherwick ITW,
==========,,
02-Jul,,
Hartley Wintney II,Rotherwick ITW,
Highfield,Hayling Island,
Longparish,Liphook & Ripsley II,
OTs & Romsey II,Steep,
Purbrook II,United Services II,
Pylewell Park,East Woodhay,
Rowner,GE Hamble,
South Wilts III,Wellow & Plaitford,
Winterslow,Ropley,
==========,,
09-Jul,,
East Woodhay,South Wilts III,
GE Hamble,Winterslow,
Highfield,United Services II,
Liphook & Ripsley II,Pylewell Park,
Longparish,Hayling Island,
Purbrook II,Steep,
Ropley,Hartley Wintney II,
Rotherwick ITW,OTs & Romsey II,
Wellow & Plaitford,Rowner,
==========,,
16-Jul,,
Hartley Wintney II,GE Hamble,
Hayling Island,Liphook & Ripsley II,
OTs & Romsey II,Ropley,
Rotherwick ITW,Purbrook II,
Rowner,East Woodhay,
South Wilts III,Pylewell Park,
Steep,Highfield,
United Services II,Longparish,
Winterslow,Wellow & Plaitford,
==========,,
23-Jul,,
East Woodhay,Winterslow,
GE Hamble,OTs & Romsey II,
Highfield,Rotherwick ITW,
Liphook & Ripsley II,United Services II,
Longparish,Steep,
Purbrook II,Ropley,
Pylewell Park,Hayling Island,
South Wilts III,Rowner,
Wellow & Plaitford,Hartley Wintney II,
==========,,
30-Jul,,
Hartley Wintney II,East Woodhay,
OTs & Romsey II,Wellow & Plaitford,
Purbrook II,GE Hamble,
Ropley,Highfield,
Rotherwick ITW,Longparish,
Rowner,Pylewell Park,
Steep,Liphook & Ripsley II,
United Services II,Hayling Island,
Winterslow,South Wilts III,
==========,,
06-Aug,,
East Woodhay,OTs & Romsey II,
Hayling Island,Steep,
Highfield,GE Hamble,
Liphook & Ripsley II,Rotherwick ITW,
Longparish,Ropley,
Pylewell Park,United Services II,
Rowner,Winterslow,
South Wilts III,Hartley Wintney II,
Wellow & Plaitford,Purbrook II,
==========,,
13-Aug,,
GE Hamble,Longparish,
Hartley Wintney II,Rowner,
Highfield,Wellow & Plaitford,
OTs & Romsey II,South Wilts III,
Purbrook II,East Woodhay,
Ropley,Liphook & Ripsley II,
Rotherwick ITW,Hayling Island,
Steep,United Services II,
Winterslow,Pylewell Park,
==========,,
20-Aug,,
East Woodhay,Highfield,
Hayling Island,Ropley,
Liphook & Ripsley II,GE Hamble,
Longparish,Wellow & Plaitford,
Pylewell Park,Steep,
Rowner,OTs & Romsey II,
South Wilts III,Purbrook II,
United Services II,Rotherwick ITW,
Winterslow,Hartley Wintney II,
==========,,
27-Aug,,
GE Hamble,Hayling Island,
Hartley Wintney II,Pylewell Park,
Highfield,South Wilts III,
Longparish,East Woodhay,
OTs & Romsey II,Winterslow,
Purbrook II,Rowner,
Ropley,United Services II,
Rotherwick ITW,Steep,
Wellow & Plaitford,Liphook & Ripsley II,
==========,,
