05-May,,
Bishops Waltham II,Whiteparish,
Burley,CBBEA,
Compton,Ellingham II,
Havant III,Totton & Eling III,
Hyde,Fareham & Crofton III,
Langley Manor II,Bashley (Rydal) III,
Ryde II,Fawley II,
West Moors,Hythe & Dibden II,
Wickham,Verwood,
==========,,
12-May,,
Bashley (Rydal) III,Hythe & Dibden II,
CBBEA,Langley Manor II,
Ellingham II,Hyde,
Fareham & Crofton III,Bishops Waltham II,
Fawley II,Burley,
Havant III,Compton,
Verwood,Ryde II,
Whiteparish,West Moors,
Wickham,Totton & Eling III,
==========,,
19-May,,
Bashley (Rydal) III,Whiteparish,
Bishops Waltham II,Ellingham II,
Burley,Verwood,
Hyde,Havant III,
Hythe & Dibden II,CBBEA,
Langley Manor II,Fawley II,
Ryde II,Wickham,
Totton & Eling III,Compton,
West Moors,Fareham & Crofton III,
==========,,
26-May,,
CBBEA,Whiteparish,
Compton,Hyde,
Ellingham II,West Moors,
Fareham & Crofton III,Bashley (Rydal) III,
Fawley II,Hythe & Dibden II,
Havant III,Bishops Waltham II,
Ryde II,Totton & Eling III,
Verwood,Langley Manor II,
Wickham,Burley,
==========,,
02-Jun,,
Bashley (Rydal) III,Ellingham II,
Bishops Waltham II,Compton,
Burley,Ryde II,
CBBEA,Fareham & Crofton III
Hythe & Dibden II,Verwood
Langley Manor II,Wickham
Totton & Eling III,Hyde
West Moors,Havant III
Whiteparish,Fawley II
==========,
09-Jun,
Burley,Totton & Eling III
Compton,West Moors
Ellingham II,CBBEA
Fawley II,Fareham & Crofton III
Havant III,Bashley (Rydal) III
Hyde,Bishops Waltham II
Ryde II,Langley Manor II
Verwood,Whiteparish
Wickham,Hythe & Dibden II,
==========,,
16-Jun,,
Bashley (Rydal) III,Compton,
CBBEA,Havant III,
Fareham & Crofton III,Verwood,
Fawley II,Ellingham II,
Hythe & Dibden II,Ryde II,
Langley Manor II,Burley,
Totton & Eling III,Bishops Waltham II,
West Moors,Hyde,
Whiteparish,Wickham,
==========,,
23-Jun,,
Bishops Waltham II,West Moors,
Burley,Hythe & Dibden II,
Compton,CBBEA,
Havant III,Fawley II,
Hyde,Bashley (Rydal) III,
Langley Manor II,Totton & Eling III,
Ryde II,Whiteparish,
Verwood,Ellingham II,
Wickham,Fareham & Crofton III,
==========,,
30-Jun,,
Bishops Waltham II,Bashley (Rydal) III,
Compton,Fawley II,
Ellingham II,Wickham,
Fareham & Crofton III,Ryde II,
Havant III,Verwood,
Hyde,CBBEA,
Hythe & Dibden II,Langley Manor II,
West Moors,Totton & Eling III,
Whiteparish,Burley,
==========,,
07-Jul,,
Bashley (Rydal) III,West Moors,
CBBEA,Bishops Waltham II,
Ellingham II,Ryde II,
Fareham & Crofton III,Burley,
Fawley II,Hyde,
Totton & Eling III,Hythe & Dibden II,
Verwood,Compton,
Whiteparish,Langley Manor II,
Wickham,Havant III,
==========,,
14-Jul,,
Bishops Waltham II,Fawley II,
Burley,Ellingham II,
Compton,Wickham,
Hyde,Verwood,
Hythe & Dibden II,Whiteparish,
Langley Manor II,Fareham & Crofton III,
Ryde II,Havant III,
Totton & Eling III,Bashley (Rydal) III,
West Moors,CBBEA,
==========,,
21-Jul,,
CBBEA,Bashley (Rydal) III,
Compton,Ryde II,
Ellingham II,Langley Manor II,
Fareham & Crofton III,Hythe & Dibden II,
Fawley II,West Moors,
Havant III,Burley,
Verwood,Bishops Waltham II,
Whiteparish,Totton & Eling III,
Wickham,Hyde,
==========,,
28-Jul,,
Bashley (Rydal) III,Fawley II,
Bishops Waltham II,Wickham,
Burley,Compton,
Hyde,Ryde II,
Hythe & Dibden II,Ellingham II,
Langley Manor II,Havant III,
Totton & Eling III,CBBEA,
West Moors,Verwood,
Whiteparish,Fareham & Crofton III,
==========,,
04-Aug,,
Compton,Langley Manor II
Ellingham II,Whiteparish
Fareham & Crofton III,Totton & Eling III
Fawley II,CBBEA
Havant III,Hythe & Dibden II
Hyde,Burley
Ryde II,Bishops Waltham II
Verwood,Bashley (Rydal) III
Wickham,West Moors
==========,
11-Aug,
Bashley (Rydal) III,Wickham
Bishops Waltham II,Burley
CBBEA,Verwood
Fareham & Crofton III,Ellingham II
Hythe & Dibden II,Compton
Langley Manor II,Hyde,
Totton & Eling III,Fawley II,
West Moors,Ryde II,
Whiteparish,Havant III,
==========,,
18-Aug,,
Bishops Waltham II,Langley Manor II,
Burley,West Moors,
Compton,Whiteparish,
Ellingham II,Totton & Eling III,
Havant III,Fareham & Crofton III,
Hyde,Hythe & Dibden II,
Ryde II,Bashley (Rydal) III,
Verwood,Fawley II,
Wickham,CBBEA,
==========,,
25-Aug,,
Bashley (Rydal) III,Burley,
CBBEA,Ryde II,
Ellingham II,Havant III,
Fareham & Crofton III,Compton,
Fawley II,Wickham,
Hythe & Dibden II,Bishops Waltham II,
Totton & Eling III,Verwood,
West Moors,Langley Manor II,
Whiteparish,Hyde,
==========,,
