03-May,
Alderholt,Langley Manor
M&T's,Redlynch & Hale
Farley,Winterslow
OT's & Romsey,Calmore
Totton & Eling,Hyde
Paultons,Wellow & Plaitford
==========,
10-May,
Redlynch & Hale,Alderholt
Bramshaw,Paultons
Winterslow,M&T's
Calmore,Farley
Hyde,OT's & Romsey
Wellow & Plaitford,Totton & Eling
==========,
17-May,
Alderholt,Winterslow
Langley Manor,Redlynch & Hale
M&T's,Calmore
Farley,Hyde
OT's & Romsey,Wellow & Plaitford
Totton & Eling,Bramshaw
==========,
24-May,
Calmore,Alderholt
Winterslow,Langley Manor
Paultons,Totton & Eling
Hyde,M&T's
Wellow & Plaitford,Farley
Bramshaw,OT's & Romsey
==========,
07-Jun,
Alderholt,Hyde
Langley Manor,Calmore
Redlynch & Hale,Winterslow
M&T's,Wellow & Plaitford
Farley,Bramshaw
OT's & Romsey,Paultons
==========,
14-Jun,
Wellow & Plaitford,Alderholt
Hyde,Langley Manor
Calmore,Redlynch & Hale
Totton & Eling,OT's & Romsey
Bramshaw,M&T's
Paultons,Farley
==========,
21-Jun,
Alderholt,Bramshaw
Langley Manor,Wellow & Plaitford
Redlynch & Hale,Hyde
Winterslow,Calmore
M&T's,Paultons
Farley,Totton & Eling
==========,
28-Jun,
Paultons,Alderholt
Bramshaw,Langley Manor
Wellow & Plaitford,Redlynch & Hale
Hyde,Winterslow
OT's & Romsey,Farley
Totton & Eling,M&T's
==========,
05-Jul,
Alderholt,Totton & Eling
Langley Manor,Paultons
Redlynch & Hale,Bramshaw
Winterslow,Wellow & Plaitford
Calmore,Hyde
M&T's,OT's & Romsey
==========,
12-Jul,
OT's & Romsey,Alderholt
Totton & Eling,Langley Manor
Paultons,Redlynch & Hale
Bramshaw,Winterslow
Wellow & Plaitford,Calmore
Farley,M&T's
==========,
19-Jul,
Alderholt,Farley
Langley Manor,OT's & Romsey
Redlynch & Hale,Totton & Eling
Winterslow,Paultons
Calmore,Bramshaw
Hyde,Wellow & Plaitford
==========,
26-Jul,
M&T's,Alderholt
Farley,Langley Manor
OT's & Romsey,Redlynch & Hale
Totton & Eling,Winterslow
Paultons,Calmore
Bramshaw,Hyde
==========,
